book_title,book_page_num,book_publish_month,book_publish_day,book_publisher,book_num_reviews,book_publish_year,book_lang,book_author,book_rating,book_isbn,book_genre
"Shadows in the Starlight (Changeling Detective, #2)",288,6,2,20,6,2007,1,18,3.68,0765348527,16
"The Changeling (Daughters of England, #15)",369,12,8,21,13,1990,1,19,3.98,0449146979,11
The Known World,388,12,8,22,2632,2006,1,20,3.83,0061159174,5
"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",334,12,5,23,83,2006,1,21,3.83,0273704745,17
Artesia: Adventures in the Known World,352,12,12,24,4,2005,1,22,4.13,1932386106,5
"The John McPhee Reader (John McPhee Reader, #1)",416,1,6,25,37,1982,1,23,4.42,0374517193,11
Uncommon Carriers,248,12,5,26,203,2006,1,23,3.95,0374280398,18
Heirs of General Practice,128,1,4,25,23,1986,1,23,4.16,0374519749,6
The Control of Nature,288,1,9,25,305,1990,1,23,4.24,0374522596,19
Annals of the Former World,720,6,1,25,227,1999,1,23,4.34,0374518734,15
Coming Into the Country,448,1,4,25,262,1991,1,23,4.22,0374522871,15
La Place de la Concorde Suisse,160,1,4,25,53,1994,2,23,3.92,0374519323,16
Giving Good Weight,288,1,4,25,36,1994,1,23,4.22,0374516006,17
"The Second John McPhee Reader (John McPhee Reader, #2)",393,12,2,25,1,1996,1,23,4.37,0374256861,11
Rising from the Plains,208,1,11,25,99,1987,1,23,4.23,0374520658,20
The Heidi Chronicles,81,1,3,27,70,2002,1,24,3.75,0822205106,13
"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",138,12,3,28,1,2006,1,25,3.94,1596670231,18
Simply Beautiful Beaded Jewelry,128,12,3,29,4,2006,1,26,3.77,1581807740,7
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,108,12,1,30,2,1997,1,25,3.66,0871202867,19
"Heidi (Heidi, #1-2)",352,12,11,31,2289,2002,1,27,3.99,0753454947,6
Getting Results with Curriculum Mapping,192,12,11,32,5,2004,1,25,3.25,0871209993,17
"Cinnamon and Roses (Rose Trilogy, #1)",298,1,1,33,5,2000,1,28,3.83,0843946687,18
What to Expect the First Year (What to Expect),832,12,10,34,663,2003,1,29,3.89,0761129588,2
Simply Beautiful Beading: 53 Quick and Easy Projects,128,12,8,29,4,2004,1,26,3.78,1581805632,18
Seven-Year Seduction,184,12,2,35,6,2006,1,28,3.61,0373767099,19
"God Emperor of Dune (Dune Chronicles, #4)",423,12,6,36,167,1987,1,30,3.85,0441294677,12
"Dune (Dune Chronicles, #1)",528,2,8,36,468,2005,1,30,4.23,6412759,17
Chapterhouse: Dune (Dune Chronicles #6),436,1,7,36,569,1987,1,30,3.91,0441102670,21
Dune Messiah (Dune Chronicles #2),331,12,7,36,2372,1987,1,30,3.88,0441172695,12
Dreamer of Dune: The Biography of Frank Herbert,592,1,7,20,21,2004,1,31,4.01,0765306476,22
"Heretics of Dune (Dune Chronicles, #5)",480,12,4,37,20,1984,1,30,3.86,0399128980,13
The Road to Dune,426,12,8,38,83,2006,1,30,3.88,0765353709,7
Children of Dune (Dune Chronicles #3),408,12,5,36,1408,1987,1,30,3.93,6412759,5
Heretics of Dune (Dune Chronicles #5),471,12,8,36,642,1987,1,30,3.86,0441328008,1
The Lord of the Rings: The Art of the Fellowship of the Ring,192,12,6,7,102,2002,1,32,4.6,0618212906,14
The Patriarch: The Rise and Fall of the Bingham Dynasty,576,1,2,39,1,1993,1,33,3.67,0671797077,21
"The Power of One (The Power of One, #1)",544,12,9,6,4580,1996,1,34,4.35,034541005X,2
The Power of One: Daisy Bates and the Little Rock Nine,192,12,12,40,7,2004,1,35,4.41,061831556X,19
The Power of One Christlike Life,159,1,7,41,3,2000,1,36,4.22,0883686287,12
"The Power of One: One Person, One Rule, One Month",256,1,11,42,1,2004,1,37,4.22,0785260056,16
Power of an Hour: Business and Life Mastery in One Hour a Week,205,12,5,43,16,2006,1,38,3.34,0471780936,3
"The Power of One: The Solo Play for Playwrights, Actors, and Directors",240,7,2,44,0,2000,1,39,3.67,0325001537,8
"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",336,3,5,5,9,2005,1,40,3.48,006076287X,5
eBay for Dummies,386,12,10,43,9,2006,1,41,3.51,0470045299,8
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,260,12,1,45,0,2006,1,42,3.62,0072262788,23
Starting an eBay Business for Dummies,384,12,9,43,4,2004,1,41,3.55,0764569244,3
eBay: Top 100 Simplified Tips & Tricks,260,6,6,43,0,2006,1,43,4.27,0471933821,1
ebay Timesaving Techniques for Dummies,391,12,5,43,1,2004,1,41,3.39,0764559915,2
eBay Business All-in-One Desk Reference for Dummies,864,12,4,43,3,2005,1,41,3.89,0764584383,7
The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,256,1,12,46,0,2000,1,44,3.75,184215298X,15
Anna Karenina,838,12,5,47,1873,2004,1,45,4.05,0143035002,5
Dinner with Anna Karenina,360,12,1,48,65,2006,1,46,2.98,0778322270,18
Tolstoy: Anna Karenina,128,12,11,49,33,1987,1,47,4.19,0521313252,10
Untouchable,160,3,7,50,286,1990,1,48,3.72,0140183957,18
The Untouchable,368,12,6,51,218,1998,1,49,3.95,0679767479,13
The Untouchables,256,1,2,52,31,1996,1,50,3.89,1568491980,16
Dalit: The Black Untaouchables of India,100,12,1,53,0,1995,1,51,4.2,0932863051,19
"The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4)",308,12,4,49,0,1998,1,52,4.0,0521553628,7
Growing Up Untouchable in India: A Dalit Autobiography,224,12,12,54,4,2000,1,53,3.65,0742508803,3
The Book of Evidence,304,12,11,55,2,2003,1,54,3.83,0195171713,5
The Evidence-Based Social Work Skills Book,216,12,9,56,0,2003,1,55,3.4,0205358624,2
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",48,12,9,11,0,1991,1,56,4.0,1557344035,2
Wrinkles in Time,360,1,10,57,23,1994,1,57,4.01,0380720442,16
Literature Circle Guide: A Wrinkle in Time,32,1,1,58,0,2002,1,58,3.6,043927169X,16
Empress in the Wrinkle of Time: The Knight-King Chronicle,508,12,8,59,0,2000,1,59,4.25,0738817538,13
A Wrinkle in Time: L-I-T Guide,40,1,12,60,3,1997,1,60,3.91,1566440114,12
A Wrinkle in Time: Teacher Guide,32,1,12,61,0,1998,1,61,4.14,1561371181,3
"The Long Shadow (The Morland Dynasty, #6)",367,1,6,62,17,1994,1,62,4.11,0751506435,10
"A Long Shadow (Inspector Ian Rutledge, #8)",352,3,1,63,238,2006,1,63,4.12,006078671X,3
Long Way Round: Chasing Shadows Across the World,320,1,11,64,44,2005,1,64,3.95,0743499344,12
"A Shadow in Summer (Long Price Quartet, #1)",331,7,3,20,636,2006,1,65,3.61,0765313405,5
New Hope for the Dead (Hoke Mosely #2),244,10,8,65,79,2004,1,66,3.9,1400032490,8
Sideswipe: A Hoke Moseley Novel,215,8,3,65,72,2005,1,66,4.04,1400032482,15
The Way We Die Now,256,12,8,65,62,2005,1,66,4.06,1400032504,8
Miami Blues (Hoke Moseley #1),191,10,8,65,181,2004,1,66,3.94,1400032466,17
The Woman Chaser,192,1,4,66,51,1960,1,66,3.93,1842430017,22
Wild Wives,102,9,9,65,44,2009,1,66,3.68,1400032474,2
The Shark-Infested Custard,272,6,12,65,58,2005,1,66,3.82,1400032512,7
Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,184,12,1,67,0,2001,1,67,4.14,0896724409,6
Cockfighter,200,1,6,68,62,2005,1,66,4.11,1596542225,9
"Sideswipe (Hoke Moseley, #3)",279,12,6,6,3,1988,1,66,4.04,0345349474,3
The Burnt Orange Heresy (Vintage Crime/Black Lizard),144,3,10,69,11,1990,1,66,3.89,0679732527,20
I am Charlotte Simmons,738,12,8,70,1696,2005,1,68,3.42,0312424442,15
The Complete Verse and Other Nonsense,624,12,10,50,27,2002,1,69,4.18,0142002275,21
The Complete Nonsense of Edward Lear,287,1,6,71,39,1940,1,69,4.03,089190090X,3
Poetry for Young People: Edward Lear,48,1,10,72,19,2001,1,69,3.91,0806930772,18
An Edward Lear Alphabet,32,1,4,73,9,1999,1,69,3.42,0060281138,10
A Was Once an Apple Pie,32,1,9,74,67,2005,1,69,3.41,0439660564,17
The Owl and the Pussycat,32,7,5,75,9,1996,1,69,4.19,0698113675,10
The Puffin Book of Nonsense Verse,287,3,10,76,6,1996,1,70,4.0,0140366601,20
Henry Miller on Writing,217,1,2,77,52,1964,1,71,4.23,0811201120,12
The Colossus of Maroussi,244,12,1,78,204,1975,1,71,3.98,0811201090,20
Quiet Days in Clichy,154,12,1,79,143,1994,1,71,3.69,080213016X,6
Big Sur and the Oranges of Hieronymus Bosch,400,12,1,78,142,1957,1,71,4.02,0811201074,1
Tropic of Cancer,318,6,1,79,2405,1994,1,71,3.68,0802131786,10
Tropic of Capricorn,348,12,1,79,463,1994,1,71,3.78,0802151825,16
"Nexus (The Rosy Crucifixion, #3)",316,12,1,79,58,1994,1,71,4.1,0802151787,14
"Sexus (The Rosy Crucifixion, #1)",506,12,1,79,255,1994,1,71,3.98,0802151809,1
The Air-Conditioned Nightmare,292,12,1,78,143,1970,1,71,3.83,0811201066,3
The Time of the Assassins:  a Study of Rimbaud,160,12,1,78,54,1962,1,71,3.95,0811201155,11
Public Places-Urban Spaces: The Dimensions of Urban Design,320,12,3,80,7,2003,1,72,4.1,0750636327,9
Behavior in Public Places,248,1,9,81,7,1966,1,73,4.1,0029119405,9
Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,288,1,10,82,1,2004,1,74,3.42,1592284159,2
Together Alone: Personal Relationships in Public Places,320,8,8,83,1,2005,1,75,3.67,0520245237,22
Squares: A Public Place Design Guide for Urbanists,208,1,9,84,0,2006,1,76,3.78,0826330045,2
Just in Time! Pastoral Prayers in Public Places,80,1,3,85,0,2006,1,77,3.8,0687495679,11
Pike Place Public Market Seafood Cookbook,129,1,6,86,2,2005,1,78,3.83,1580086802,18
Art for Public Places: Critical Essays,244,1,1,87,1,1989,1,79,4.25,0950678384,1
The Portrait of a Lady,797,12,9,47,1994,2003,1,80,3.78,0141439637,3
Portrait of the Blue Lady: The Character of Melancholy,314,12,10,88,1,2004,1,81,4.22,1882670965,6
The Lover,117,8,9,89,1473,1998,1,82,3.74,6412759,17
Writing,91,6,5,90,49,1999,1,82,3.74,1571290532,6
The War,192,1,8,14,66,1994,1,82,3.85,1565842219,21
Craniosacral Therapy II: Beyond the Dura,259,1,1,91,1,1990,1,83,4.35,093961605X,8
The Ravishing of Lol Stein,181,12,3,92,131,1986,1,82,3.66,0394743040,14
A Treasury of Kahlil Gibran,456,1,1,93,10,1976,1,84,4.43,0806504102,20
Love Letters,178,1,7,94,8,1999,1,84,3.7,1851681825,2
The Prophet,128,12,2,95,51,1995,1,84,4.23,0679440674,6
Kahlil Gibran: His Life and World,464,1,4,96,2,1998,1,85,4.21,156656249X,14
The Beloved: Reflections on the Path of the Heart,102,1,1,50,16,1998,1,84,4.19,014019553X,19
Jesus the Son of Man,216,12,2,95,83,1995,1,84,3.98,0394431243,4
The Broken Wings,132,3,3,97,528,2003,1,84,3.92,0806501901,18
Sand and Foam,100,12,6,95,218,2011,1,84,4.08,067943920X,5
Treasure Island,311,12,9,31,6859,2001,1,86,3.83,0753453800,1
Treasure Island (Great Illustrated Classics),232,12,1,98,16,2006,1,87,4.05,1577658051,22
Daniel Deronda Notebooks,524,12,12,49,0,1996,1,88,3.7,0521460646,18
"Daniel Deronda, V1",384,12,7,99,2,2003,1,88,4.31,1404384618,11
Flight: 100 Years of Aviation,440,12,9,100,2,2002,1,89,4.31,0789489104,16
100 Years of Lynchings,270,12,11,101,4,1996,1,90,4.61,0933121180,22
If You Lived 100 Years Ago,80,1,9,102,20,1999,1,91,3.91,0590960016,18
Camp Cooking: 100 Years The National Museum of Forest Service History,192,12,12,103,1,2004,1,92,4.42,1586857614,4
El Siglo del Espiritu Santo,559,1,7,104,0,2006,1,93,3.79,9875570923,6
The Next 100 Years: Predictions to the Nations and the Church of the 21st Century,133,1,1,105,2,2004,1,94,4.0,1886296316,5
Disney,224,1,2,106,1,2003,1,95,3.98,0786853808,12
Masterwork Studies Series: 100 Years of Solitude,176,1,5,107,14,1991,1,96,4.05,0805779892,23
Cien años de soledad,448,1,1,108,7,1990,3,97,4.07,0785950109,20
Chess for Zebras,255,1,12,109,8,2003,1,98,4.4,1901983854,13
What If the Zebras Lost Their Stripes?,32,1,9,110,14,1998,1,99,4.14,0809166496,20
On Beyond Zebra!,64,12,9,111,165,1955,1,100,4.04,0394800842,6
Ziggy the Zebra,14,1,2,112,0,2000,1,101,4.07,1581171048,3
The Wedding Clause,256,7,6,113,14,2005,1,102,3.61,0821778250,11
The Zebra Wall,147,12,2,114,24,2005,1,103,3.44,0060733039,19
"""A"" Is for Zebra",32,12,4,72,21,2006,1,104,3.78,1402734948,14
Lots and Lots of Zebra Stripes,32,1,3,115,7,2002,1,105,3.74,1563979802,9
El perfume: Historia de un asesino,239,1,6,116,262,2002,3,106,4.02,8432216062,13
"Perfumes, Splashes  Colognes: Discovering and Crafting Your Personal Fragrances",176,11,1,117,2,1997,1,107,3.65,0882669850,3
Wonderful World of Collecting Perfume Bottles: Identification & Value Guide,176,1,4,118,0,2006,1,108,4.09,1574325027,21
Scents & Sensibilities: Creating Solid Perfumes for Well-Being,96,7,6,103,1,2005,1,109,3.85,158685738X,19
The Door Into Summer,304,12,6,119,654,1997,1,110,4.01,0345413997,19
Stranger in a Strange Land,528,1,10,120,6303,1991,1,110,3.92,0441788386,1
Time Enough for Love,589,12,8,120,642,1988,1,110,3.97,6412759,8
To Sail Beyond the Sunset,434,1,6,36,194,1988,1,110,3.87,0441748600,9
Job: A Comedy of Justice,439,12,10,119,440,1985,1,110,3.78,0345316509,11
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",307,12,2,121,1415,1991,1,111,4.06,0671742515,14
"The Salmon of Doubt (Dirk Gently, #3)",298,12,4,119,752,2005,1,111,3.93,0345455290,23
Wish You Were Here: The Official Biography of Douglas Adams,368,12,12,119,49,2005,1,112,4.14,0345476514,21
Velvet: A Novel of Suspense,221,1,6,122,0,1993,1,113,2.5700000000000003,0881502642,10
The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,7,1,1,123,5,2006,1,111,3.93,159777006X,18
Salmon Doubts,128,12,7,124,29,2004,1,114,3.25,1891867717,16
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,336,1,7,125,0,2003,1,111,3.93,1417622857,10
A Guide for Using the Phantom Tollbooth in the Classroom,48,1,3,11,0,1994,1,115,4.25,1557344310,4
A Colorful Symphony: Full Score,68,1,5,126,1,1997,1,116,5.0,0793565561,1
On Bullshit,67,12,1,127,1005,2005,1,117,3.5700000000000003,0691122946,10
Another Bullshit Night in Suck City,347,12,9,128,909,2005,1,118,3.79,0393329402,2
100 Bullshit Jobs...And How to Get Them,320,2,5,129,23,2006,1,119,3.19,0060734795,23
The Business of Bullshit,193,12,5,130,3,2006,1,120,3.47,0452287332,16
Bullshit Artist: The 9/11 Leadership Myth,326,12,3,131,0,2006,1,121,4.67,141962461X,14
Your Call Is Important to Us: The Truth About Bullshit,272,12,5,4,32,2006,1,122,3.42,1400081041,4
"Hello, Lied the Agent: And Other Bullshit You Hear as a Hollywood TV Writer",342,1,9,132,8,2006,1,123,3.34,1597775320,16
Lincoln at Gettysburg: The Words That Remade America,317,12,6,133,15,1993,1,124,4.14,0671867423,22
The Gettysburg Address,32,2,2,134,76,1998,1,125,4.53,0395883970,9
Underworld,827,9,7,135,177,1998,1,126,3.92,0684848155,3
Libra,480,1,5,136,572,1991,1,126,3.99,0140156046,15
Americana,377,6,7,50,55,1989,1,126,3.43,0140119485,19
Running Dog,256,12,7,137,76,1989,1,126,3.43,0679722947,3
Cosmopolis,224,6,4,135,41,2004,1,126,3.22,0743244257,4
Great Jones Street,272,1,1,50,149,1994,1,126,3.48,0140179178,17
The Names,339,12,7,69,213,1989,1,126,3.64,0679722955,10
Against the Day,1085,12,11,138,590,2006,1,127,4.13,159420120X,15
V.,547,5,7,139,179,2005,1,127,3.96,0060930217,8
The Crying of Lot 49,152,1,4,57,231,1999,1,127,3.69,0060931671,3
Mason & Dixon,773,3,1,70,609,2004,1,127,4.07,0312423209,2
Vineland,385,1,9,47,69,1997,1,127,3.69,0141180633,19
Slow Learner: Early Stories,193,12,4,140,34,1985,1,127,3.5,0316724432,13
Been Down So Long It Looks Like Up To Me,352,12,8,47,220,1996,1,128,3.79,0140189300,6
Vintage Didion,199,6,1,51,25,2004,1,129,4.1,1400033934,1
The Year of Magical Thinking,227,4,10,141,337,2005,1,129,3.89,140004314X,2
The White Album,222,1,10,26,763,1990,1,129,4.16,0374522219,18
A Book of Common Prayer,272,11,4,142,259,1995,1,129,3.8,0679754865,12
Where I Was From,240,12,9,69,295,2004,1,129,3.86,0679752862,1
Slouching Towards Bethlehem,238,1,10,26,1876,1990,1,129,4.21,0374521727,20
Democracy,234,12,4,142,172,1995,1,129,3.82,0679754857,14
Miami,240,12,9,69,96,1998,1,129,3.7,0679781803,15
Play It As It Lays,231,12,11,25,1757,2005,1,129,3.88,0374529949,13
Amazons: An Intimate Memoir by the First Woman Ever to Play in the National Hockey League,390,1,1,143,4,1980,1,130,3.71,0030554268,20
The New York Trilogy,308,12,3,47,1895,2006,1,131,3.89,0143039830,9
"City of Glass (The New York Trilogy, #1)",203,7,4,50,748,1987,1,131,3.79,0140097317,4
"Ghosts (The New York Trilogy, #2)",96,7,7,50,200,1987,1,131,3.64,014009735X,23
"The Locked Room (The New York Trilogy, #3)",179,1,11,144,167,1986,1,131,3.89,0940650762,10
"New York Trilogy: New York Underground, Trapped, Love and Sex",156,12,4,19,0,2000,1,132,5.0,0595002234,7
"New York Dreams (Virex Trilogy, #3)",336,1,8,145,1,2004,1,133,3.8,0575074949,19
Pyramids of Montauk: Explorations in Consciousness,256,1,1,146,2,1995,1,134,3.89,0963188925,16
"All My Tomorrows (The Orphan Trains Trilogy, #2)",352,7,6,147,14,2003,1,135,3.96,1590521307,16
The Brooklyn Follies,306,12,10,148,1161,2006,1,131,3.84,0312426232,22
Moon Palace,320,1,4,50,511,1990,1,131,3.94,0140115854,1
A Tomb for Anatole: Poetry,202,12,6,78,15,2005,1,136,4.37,0811215938,18
The Invention of Solitude: A Memoir,192,5,5,50,12,1988,1,131,3.78,0140106286,23
The Music of Chance,217,1,12,50,36,1991,1,131,3.91,0140154078,1
Travels in the Scriptorium,145,12,1,149,565,2007,1,131,3.23,0805081453,14
In the Country of Last Things,188,2,5,50,52,1988,1,131,3.87,0140097058,16
Leviathan,275,1,9,50,449,1993,1,131,3.96,0140178139,7
The Random House Book of 20th Century French Poetry,690,12,1,69,11,1984,1,131,4.5600000000000005,0394717481,1
The Inner Life of Martin Frost,40,1,4,150,8,2006,1,131,3.33,9051705441,1
Disappearances,96,2,5,151,1,1989,1,131,3.4,0879513411,9
The Red Notebook: True Stories,104,12,6,78,121,2002,1,131,3.77,0811214982,7
Collected Poems,192,5,1,151,3,2004,1,131,3.58,1585674044,4
Paul Auster and Postmodern Quest: On the Road to Nowhere,221,6,11,152,0,2002,1,137,4.0,0820461679,21
Timbuktu / Leviathan / Moon Palace,1075,7,11,153,1,2002,2,131,4.32,2742741461,18
An Art of Desire: Reading Paul Auster,245,1,1,154,0,1999,1,138,4.0,9042004533,8
"The Art of Hunger: Essays, Prefaces, Interviews, The Red Notebook",368,1,9,50,11,1997,1,131,3.87,0140267506,11
World that is the Book: Paul Auster’s Fiction,200,1,11,155,0,2001,1,139,3.6,0853236879,8
Beyond the Red Notebook,224,1,8,156,0,1995,1,140,4.0,0812215567,16
Collapse: How Societies Choose to Fail or Succeed,608,12,12,157,2806,2005,1,141,3.93,0143036556,5
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,211,1,2,158,26,2006,1,142,3.39,0446579785,19
Collapse of Complex Societies,262,12,3,49,88,1990,1,143,4.16,052138673X,21
Bowling Alone: The Collapse and Revival of American Community,544,7,8,159,518,2001,1,144,3.8,0743203046,14
The Collapse of Evolution,224,1,11,160,5,1997,1,145,4.1,0801057744,14
Collapse of Burning Buildings: A Guide to Fireground Safety,150,1,1,161,0,1988,1,146,4.83,0878149031,15
"Armageddon Averted: The Soviet Collapse, 1970-2000",245,12,11,162,54,2003,1,147,3.73,0195168941,1
The Languages of Native North America,773,6,7,49,6,2001,1,148,4.53,052129875X,1
Indian Sign Language,128,1,6,163,2,1969,1,149,3.95,048622029X,15
The Fantastic Inventions of Nikola Tesla,351,12,6,164,21,2014,1,150,4.05,0932813194,1
My Inventions,88,12,5,165,268,2006,1,150,4.01,1599869942,22
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,542,1,2,97,340,2001,1,151,3.79,0806519606,10
"Colorado Springs Notes, 1899-1900",439,1,8,166,1,2001,1,152,3.96,0913022268,19
The Lost Journals of Nikola Tesla: HAARP - Chemtrails and the Secret of Alternative 4,155,2,12,167,3,2011,1,153,3.91,1892062135,22
Nikola Tesla: A Spark of Genius,144,1,10,168,6,1994,1,154,3.93,0822549204,22
Tesla Papers,100,1,12,164,2,2000,1,150,4.13,0932813860,13
21st Century Mysteries: Nikola Tesla: Federal Documents and References (CD-ROM),23931,3,2,169,0,2006,1,155,5.0,1422004848,7
Problem of Increasing Human Energy,112,1,4,170,13,1996,1,150,4.24,1564598446,10
The Tesla Rotating Magnetic Field,48,8,12,170,0,2005,1,156,4.0,1425318738,15
Art Invention House,319,8,11,171,0,2005,1,157,3.67,0847827356,7
How Invention Begins: Echoes of Old Voices in the Rise of New Machines,277,12,7,162,2,2006,1,158,3.75,019530599X,21
The Invention of Peace: Reflections on War and International Order,128,8,2,172,8,2001,1,159,3.69,0300088663,9
Amazing Leonardo da Vinci Inventions: You Can Build Yourself,128,1,1,173,14,2006,1,160,3.86,0974934429,11
The Invention of Love,112,10,8,79,100,1998,1,161,4.02,0802135811,1
Sliding Into Home,224,1,4,174,16,2005,1,162,3.89,1561453412,19
Boys of Summer,249,12,6,175,12,2006,1,163,3.77,0373792689,9
"When Johnny Came Sliding Home: The Post-Civil War Baseball Boom, 1865-1870",313,1,6,176,0,2006,1,164,4.62,0786427574,10
Best of Ruby Quiz Volume One,298,1,3,9,0,2006,1,165,3.4,0976694077,19
From Java to Ruby,160,12,6,9,3,2006,1,166,3.14,0976694093,5
Rails Recipes,332,1,6,9,5,2006,1,167,3.55,0977616606,7
Learn to Program,149,12,1,9,46,2006,1,168,4.13,0976694042,2
"No Fluff, Just Stuff Anthology",256,12,6,9,1,2006,1,169,3.38,0977616665,16
English-Cayuga/Cayuga-English Dictionary,750,12,12,177,1,2002,1,170,0.0,080203618X,3
Lord of the Flies,6,11,10,178,97,2005,1,171,3.68,0307281701,10
Lord of the Flies (SparkNotes Literature Guides),72,10,1,179,1,2002,1,172,3.76,1586633554,7
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,397,12,9,180,101,2006,1,173,4.11,0812969707,20
Jack: A Life Like No Other,480,6,11,180,19,2001,1,174,3.85,0375503633,15
We Were Not Like Other People,216,1,1,73,0,1989,1,175,4.14,0060255080,13
The Lovely Bones,327,1,9,180,361,2006,1,176,3.81,6412759,16
"Lovely in Her Bones (Elizabeth MacPherson, #2)",224,12,5,6,43,1990,1,177,3.8,0345360354,13
USB Mass Storage: Designing and Programming Devices and Embedded Hosts,287,1,9,181,1,2006,1,178,3.67,1931448043,7
Storage Network Performance Analysis,432,9,5,43,0,2003,1,179,3.93,076451685X,7
Complete Home Storge,192,1,5,182,0,2003,1,180,3.1,0376017708,18
Storage Area Network Essentials: A Complete Guide to Understanding and Implementing Sans,384,6,11,43,2,2001,1,181,4.06,0471034452,12
Country Living Stylish Storage: Simple Ways to Contain Your Clutter,144,1,8,183,0,2002,1,182,3.0,1588162257,5
Simple Handmade Storage: 23 Step-By-Step Weekend Projects,128,9,6,184,1,2004,1,183,3.29,1592231500,9
Storage (Chic Simple) (Chic Simple Components),103,12,11,95,0,1994,1,184,2.83,0679432221,1
"The Modern Gentleman: A Guide to Essential Manners, Savvy and Vice",341,12,8,86,39,2002,1,185,3.81,1580084303,9
